spieltag,team_H,team_A,goal_H,goal_A,goal_H_HT,goal_A_HT
"
                    17. Spieltag
                ",1860 München ,Borussia Dortmund ,4,1,2,1
"
                    17. Spieltag
                ",Werder Bremen ,1. FC Nürnberg ,1,1,1,1
"
                    17. Spieltag
                ",1. FC Saarbrücken ,Hamburger SV ,0,0,2,2
"
                    18. Spieltag
                ",Eintracht Frankfurt ,Meidericher SV ,1,1,2,2
"
                    18. Spieltag
                ",1. FC Köln ,1860 München ,1,1,0,0
"
                    18. Spieltag
                ",Meidericher SV ,Preußen Münster ,0,0,1,1
"
                    18. Spieltag
                ",Hamburger SV ,Karlsruher SC ,0,1,1,0
"
                    18. Spieltag
                ",1. FC Nürnberg ,Eintracht Frankfurt ,1,0,3,0
"
                    18. Spieltag
                ",Borussia Dortmund ,FC Schalke 04 ,0,0,3,0
"
                    18. Spieltag
                ",1. FC Kaiserslautern ,Hertha BSC ,1,0,3,1
"
                    18. Spieltag
                ",Eintracht Braunschweig ,1. FC Saarbrücken ,1,1,2,0
"
                    19. Spieltag
                ",VfB Stuttgart ,Werder Bremen ,1,0,3,1
"
                    19. Spieltag
                ",Karlsruher SC ,Eintracht Braunschweig ,1,0,2,3
"
                    19. Spieltag
                ",FC Schalke 04 ,1. FC Köln ,0,2,2,0
"
                    19. Spieltag
                ",Werder Bremen ,1. FC Kaiserslautern ,1,0,0,1
"
                    19. Spieltag
                ",Preußen Münster ,1. FC Nürnberg ,0,0,1,1
"
                    19. Spieltag
                ",1860 München ,VfB Stuttgart ,1,0,5,2
"
                    19. Spieltag
                ",Hertha BSC ,Meidericher SV ,3,1,2,1
"
                    19. Spieltag
                ",1. FC Saarbrücken ,Borussia Dortmund ,0,0,2,2
"
                    20. Spieltag
                ",Eintracht Frankfurt ,Hamburger SV ,1,1,2,1
"
                    20. Spieltag
                ",1. FC Kaiserslautern ,1860 München ,1,0,0,3
"
                    20. Spieltag
                ",VfB Stuttgart ,Preußen Münster ,0,1,2,0
"
                    20. Spieltag
                ",1. FC Nürnberg ,1. FC Saarbrücken ,1,0,3,2
"
                    20. Spieltag
                ",Borussia Dortmund ,Karlsruher SC ,2,1,0,3
"
                    20. Spieltag
                ",Eintracht Braunschweig ,Eintracht Frankfurt ,0,2,3,1
"
                    20. Spieltag
                ",Hamburger SV ,FC Schalke 04 ,0,0,3,1
"
                    20. Spieltag
                ",1. FC Köln ,Hertha BSC ,2,0,1,0
"
                    21. Spieltag
                ",Meidericher SV ,Werder Bremen ,0,0,2,0
"
                    21. Spieltag
                ",FC Schalke 04 ,Eintracht Braunschweig ,1,0,1,2
"
                    21. Spieltag
                ",Hertha BSC ,Hamburger SV ,0,1,1,1
"
                    21. Spieltag
                ",Werder Bremen ,1. FC Köln ,1,0,1,0
